"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","E-Commerce Core","0","Checkout Module","1","0","Single Item Purchase","0"
"0","","0","","1","0","","0"
